,Unnamed: 0,temp,humidity,tempmax,tempmin,cloudcover,solarradiation,dew
159,159,79.5,79,87.8,74.9,35,253,71.7
160,160,78.1,79.2,84.8,73.4,44.5,253.3,70.8
161,161,77.5,73.3,86.1,70.9,33.2,256.1,67.7
162,162,77.9,74.3,86,70.7,26.8,256.7,68.7
163,163,78.7,78.5,86,71.5,41.8,256.1,71.2
164,164,79.8,78.3,86.1,74.2,46.2,254.1,72.2
165,165,79.9,77.1,86,75.1,49.5,254.3,71.8
166,166,79.8,74.8,86.5,74,30.8,258,70.6
167,167,79.4,76.5,86.1,73.5,36.5,257.5,71.1
168,168,79.8,76,86.1,73.4,43.5,252.7,71.3
169,169,80.7,72,88,73.1,32.6,258.9,70.3
170,170,80.1,73.9,86.8,73.4,34.1,260.6,70.7
171,171,79.4,76.7,86,74,48.2,201.7,71.3
172,172,80.6,74.9,87.8,74.6,49.5,259.6,71.6
173,173,81.4,72.8,86,77,53.2,217.5,71.7
174,174,79.3,69,86,73.4,41.9,268.3,68
175,175,79.3,72.4,86,73.4,43.2,260.1,69.5
176,176,80.5,76.4,87.8,73.4,40.2,256.6,72.2
177,177,81.9,80.3,87.8,77,53.9,224.1,75.1
178,178,82.6,79.2,88.5,78.5,50.6,217.3,75.3
179,179,81.4,76.8,87.8,76.5,42.1,267.3,73.1
180,180,80.9,74.8,88.2,74.1,38.7,270.2,71.8
181,181,80.6,74.1,87.8,74.3,43.2,272.2,71.3
182,182,80.1,76.4,86.9,74.8,36,273.9,71.7
183,183,80,73.8,89.6,69.2,31.4,277.2,70.1
184,184,80.3,77.9,87.9,73.4,28.8,272.4,72.4
185,185,81.1,77.1,88.4,74.9,40.7,277.3,73
186,186,83,73.3,89.6,77.9,42.8,237.9,73.2
187,187,81.4,72.6,87.8,76.5,50.9,245.8,71.6
188,188,80.2,73.3,87.7,73.2,51.3,279.6,70.6
189,189,81.4,75.7,88.3,75.1,51.3,148.6,72.7
190,190,82.2,73.2,89.6,77,40.9,279.6,72.4
191,191,81,73.6,87.8,75.1,48.8,274,71.5
192,192,82.1,71.4,89.6,75.2,40.5,277.3,71.6
193,193,81.6,72.5,89.6,75.2,29.5,284.5,71.3
194,194,81.2,75,87.8,74,27.8,290.7,72.1
195,195,82.4,73.5,89.7,75.2,31.8,286.8,72.6
196,196,82.4,74.7,88.7,76,31.4,287.1,73.3
197,197,82.8,73.6,91.4,75.2,27,289.3,73
198,198,83.6,76.8,91.4,78.5,38.5,285.9,75.3
199,199,85.3,78.1,93.2,80,42.9,246.5,77.3
200,200,84.7,75.9,89.6,81.4,48.5,279.4,76.1
201,201,83.7,70.9,88,79.2,43.9,289.8,73.1
202,202,83.5,73.8,88.9,79.1,48.1,144.3,74.1
203,203,83.4,73.4,89.6,78.8,48,293,73.8
204,204,82.9,74.2,90.2,77,38.1,300.5,73.5
205,205,82.9,73,91.4,75.2,26.5,295.8,72.9
206,206,83.6,72.5,91.4,77,28.9,288.5,73.1
207,207,83.1,75.7,91.4,77,41,214.7,74.3
208,208,83.9,69.8,91.4,77,31.9,301,72.4
209,209,82.2,72.2,89.6,75.1,33.7,303.1,72.1
210,210,82.4,73.5,88.4,75.2,33.4,302.2,72.8
211,211,82.9,74.1,91.4,75.2,36.3,284.7,73.5
212,212,83.8,72.6,93.2,77,39.1,294,73.5
213,213,84.5,72.6,93.2,75.2,27,303.9,74.3
214,214,84.4,76.4,91.4,78.8,35.9,303.6,76
215,215,85,72.2,92,77.6,36.2,303.6,74.6
216,216,85.5,71.5,91.9,80.6,31.1,303.4,75
217,217,84.6,73.8,93.2,78.8,30.3,306.1,75
218,218,85.4,72.5,93.8,78.3,30.5,307.5,75
219,219,84.8,74.1,93.2,78.8,35.6,308.4,75.3
220,220,84.5,71.3,91.4,78.8,29.9,309.1,73.9
221,221,85.2,75.2,91.4,80.2,41.6,307.7,76.2
222,222,84.7,72.1,90.3,80.1,39.2,311.3,74.5
223,223,84.5,73.3,91.4,77,34.2,312,74.7
224,224,84.5,74,91.4,78.2,29.2,314.3,75
225,225,84.4,72.8,90.5,77,36.3,312.9,74.4
226,226,85.6,72.5,91,82.2,42.4,280.3,75.6
227,227,85.9,72.9,91.6,80.6,43.7,312,75.9
228,228,85.3,72.2,92.1,78.8,34.7,316.8,74.9
229,229,85,72.4,91.4,78.4,36.8,310.7,74.9
230,230,84.4,72.7,90.4,77,38.3,317.5,74.3
231,231,84.2,69.6,91.3,76.8,31.1,321.9,72.7
232,232,85.5,72.9,92.1,78.7,29.2,318.6,75.6
233,233,86.1,74.2,93.1,78.7,37.5,319.2,76.7
234,234,86.7,75.5,94.9,80.5,26,318.2,77.8
235,235,86.9,70.6,94.9,78.7,25,323.6,75.3
236,236,86.5,74.9,93.1,78.7,29.2,321.3,77.4
237,237,87.2,74.7,93.1,82.3,40.6,318.4,77.9
238,238,87.8,74.2,96.7,80.6,34.7,322.5,78.2
239,239,88.6,72.5,98.6,81.8,41.7,322.9,77.9
240,240,88.6,75.5,96.9,82.4,39,323.8,79.4
241,241,87.7,75.4,95,82.1,36.8,323.6,78.5
242,242,89.3,69.6,101.4,80.6,34.7,311.3,76.8
243,243,88.6,72.6,100.4,80.6,30.5,327.6,77.7
244,244,88.1,74.8,96.8,82,35.4,327.2,78.7
245,245,87.4,71.5,93.2,83,37.6,322.8,76.8
246,246,87.3,74.2,93.2,81.5,50.6,320.7,77.9
247,247,88.2,71.2,95,82.1,40,317.7,77.3
248,248,88.5,72,93.7,84.2,44.4,230.6,78.1
249,249,88.4,72.5,95.4,82.4,36.5,319,78
250,250,87.8,71.9,93.8,82.4,32.8,322.1,77.4
251,251,87.7,72.9,94.2,81.2,38.4,324.5,77.6
252,252,88.8,70.1,96.8,80.6,32.1,321.5,77.1
253,253,89.1,74.3,98.6,82.4,33.1,286,79.5
254,254,90,71.4,105.9,82.1,28.2,306,78.4
255,255,88.9,75.8,97,80.9,30.7,313.4,79.8
256,256,90.3,73.7,98.6,85.2,47.5,297.7,80.3
257,257,89.5,75.9,98.6,84.2,41.4,306.6,80.6
258,258,88.7,73.9,96.8,82.4,33,313.7,78.9
259,259,88.6,70.2,98.6,82.2,34.6,328.2,76.7
260,260,88.5,72.5,98.6,82,29.3,325.7,77.9
261,261,88.9,74.2,96.8,83.4,37,324,79.3
262,262,88.7,73.1,96.8,82.4,30,318.8,78.6
263,263,88.3,73.3,95,82.2,36.9,327.8,78.2
264,264,89.4,72.9,98.6,82.2,30.5,324.5,79.2
265,265,90,74.5,98.6,84.2,35,324.3,80.4
266,266,90.8,72.6,100.4,84.2,38.2,316.3,80.1
267,267,92.4,70.5,103.9,85.9,32.3,319.9,80.7
268,268,92.4,71.9,102.2,86.6,35.6,317,81.7
269,269,91.8,72.2,102.2,86,32.4,319,81
270,270,92,71.7,100.4,87.3,35.9,273.1,81.2
271,271,92.1,71.3,98.6,87.2,33.3,232.2,81.2
272,272,91.7,75.9,98.6,87.6,38.4,312.9,82.9
273,273,91.5,73.1,98.2,87.1,39.6,294.6,81.4
274,274,88.3,71.5,95,78.8,54.6,303.2,77.5
275,275,89.3,74.9,95,85.9,50.8,308.5,80.1
276,276,90.1,72.2,95.9,85.2,51.1,226.4,79.7
277,277,89.9,73.8,95.7,86,49.8,257.2,80.2
278,278,90.2,72.4,96.2,85.6,49.6,205.7,79.9
279,279,89.9,73.6,95,86,56.9,306.4,80.2
280,280,90,72.3,95,85.1,49.6,311.1,79.6
281,281,89.3,73.4,95.5,85.5,58.9,125.4,79.5
282,282,82.4,88.6,86,80.6,79.8,106.3,78.6
283,283,84.2,84,89.6,80.5,74.2,202.6,78.8
284,284,88.1,75.5,94.3,81.8,58.2,221.1,79
285,285,88.8,75.2,95,83.3,62.7,245.7,79.7
286,286,87.8,79.6,93.6,83.9,67.3,85.1,80.6
287,287,87.8,79.3,95,83.8,64.2,207.4,80.4
288,288,87.9,78.8,94.6,83.7,71.2,152.7,80.4
289,289,89.7,75.4,96.8,84.1,52.4,267.9,80.6
290,290,91,72.6,100.4,84.2,54.7,280.3,80.7
291,291,91.9,70.6,98.6,87.5,74.9,127.8,80.6
292,292,93.8,58.4,102.2,87.7,83.4,227.2,76.6
293,293,94.7,58.6,104,87.8,45.5,304.5,77.4
294,294,94.4,61.5,104.4,87.6,49.3,277.8,78.4
295,295,94.7,58.2,104.4,89.1,44.4,269.2,76.9
296,296,94.2,64.8,105.8,86,30.7,308.9,79.9
297,297,94.4,66.5,104,88.5,34.6,311,80.9
298,298,92.6,73.2,102.2,87.9,45.2,295.5,82.4
299,299,90.1,68.4,98.6,84.2,50.5,287.6,78
300,300,87,76.2,93.2,80.6,65.1,158.4,78.3
301,301,88.1,76.8,98.6,78.8,57.7,228.6,79.5
302,302,85.5,82.9,98.6,77,69.7,190.8,79.3
303,303,84.7,83.3,95,78.8,86.9,179.7,78.8
304,304,84.2,85.4,91.4,78.8,82.1,42.8,79.2
305,305,86.2,77.7,93.3,78.8,67,235.8,78.3
306,306,88.1,74.6,95,82.4,54.8,250.7,78.6
307,307,88.7,71.1,99.6,80.6,57.2,144.5,77.3
308,308,88.9,69.6,96.8,82,62.6,206.4,77.1
309,309,88.6,72,96.7,77,86.9,126.9,77.8
310,310,86.6,72.2,96.8,78.2,79.1,191,76.1
311,311,88.9,70.1,96.8,82.4,72.3,178.6,77.4
312,312,88.2,73,93.2,84.2,79.6,214,78.2
313,313,90,70.4,100.4,84.1,47.1,275.2,78.3
314,314,89,72.2,98.6,80.6,48.8,269.2,78.4
315,315,85,79.8,95,75.2,71.3,242.6,77.7
316,316,84.1,81.4,94.4,77,67.6,278.3,77.6
317,317,86.1,76.5,95,78.8,69.2,207.5,77.5
318,318,86.6,74,96.8,80.5,62.4,163.2,76.8
319,319,88.1,73.1,95.5,81.6,58.1,186.3,78.1
320,320,88.2,73,96.8,82.4,52.2,246.6,78
321,321,88.4,70.8,95,84,62.8,211.5,77.5
322,322,89.3,68.9,96.1,84.2,66.2,229.1,77.5
323,323,88,70.8,93.2,83.7,87,47.3,77.1
324,324,88.4,66.8,91.9,85.7,85.1,28,75.8
325,325,89.6,66.3,96.8,85.4,62.7,246.5,76.6
326,326,89.1,72.7,97,84.1,58.3,226.5,78.8
327,327,87.5,77,93.2,83.3,79.5,150.1,79.3
328,328,86.7,77.9,93.5,80.6,82.7,102,78.8
329,329,90,67.9,97.4,83.5,53.9,232.6,77.4
330,330,89.6,69.9,98.8,78.8,57,202.8,77.9
331,331,87.1,76.5,95,78.8,83.8,174.5,78.3
332,332,88.5,73.9,96.8,76.2,64.5,211.9,78.8
333,333,83.2,84.7,87.8,77,89.7,135.8,78
334,334,86.2,75.1,95.3,78.8,73.6,175.5,76.9
335,335,85.8,77.9,91.9,80,82,168.1,77.8
336,336,86,75.7,91.4,80.8,79.6,99.1,77.3
337,337,88.8,72,96.1,82.4,49.6,262.9,78.3
338,338,82.6,85.5,89.6,75.2,86.3,183.2,77.6
339,339,87.3,77.7,96.8,77,51.8,247.4,79.1
340,340,84.3,82.4,91.4,78.4,88.7,98,78.1
341,341,84.1,81.7,87.8,79.9,85.4,53.5,77.9
342,342,82.4,83,84.5,80.1,91.4,91.2,76.6
343,343,84.9,76.6,89.6,81.4,90.4,38.1,76.6
344,344,87.1,73.9,95,82.3,85.2,87.4,77.5
345,345,84.9,76.6,89.9,80.3,87.7,24.7,76.6
346,346,84.6,75,90.2,80.6,90.6,21,75.7
347,347,86.9,70.7,93.2,82,79.1,132.7,76.1
348,348,88.4,66.7,93.3,82.4,71.8,257.9,75.8
349,349,88.3,66.4,93.7,84.1,79,190.3,75.6
350,350,88.2,68.6,96.8,79.6,75.9,197.9,76.1
351,351,88.3,67,95.8,81.9,64,249.5,75.6
352,352,88.6,66.3,96.8,84.2,85.8,236.8,75.7
353,353,89.1,66.8,95.2,82.4,85.1,155,76.3
354,354,89.7,62.8,96.8,84.2,86.1,190.5,75.1
355,355,89.7,58,95.4,82.4,83.1,158.5,72.8
356,356,89.5,64.6,96.8,82.4,72.1,210,75.7
357,357,90.2,68.2,98.6,83.3,71.6,215,77.8
358,358,91,61.4,98.6,85.9,64.8,130.8,75.6
359,359,90.1,64.3,98.6,84.2,85.3,145.5,76
360,360,88.1,68.8,95,81.2,82.9,113.2,76.3
361,361,88,70,97.1,77,69.1,192.8,76.4
362,362,85.4,79.7,100.4,78.7,82.8,256.3,77.9
363,363,82.3,86.1,91.4,77,92.5,209.6,77.5
364,364,84.1,81,94.9,76.9,80.1,92.1,77.4
365,365,82.6,85.3,89.5,76.9,81.1,147,77.6
366,366,83.7,81.6,93.1,78.7,88,171.4,77.3
