,Unnamed: 0,temp,humidity,cloudcover,tempmax,tempmin,dew,solarradiation
234,234,33.1,77.9,91.8,41.4,27.6,26.8,257.5
235,235,28.8,88.6,96.1,31.5,24.3,25.7,95.2
236,236,26.1,87.3,56.5,31.4,15.3,22.7,290.1
237,237,24.2,71.2,80.7,34.6,15.2,16.1,227.7
238,238,30.7,74.8,81.2,57.3,16.6,23.6,300.1
239,239,37.4,69,72.6,83.9,19.7,26.7,263
240,240,38.6,63.7,63.5,82.7,20,25.5,304.8
241,241,38.9,65.6,51.9,82.5,20,26.5,280.7
242,242,37.8,61,12.9,83.6,14.4,24,326.9
243,243,37,66.8,39.8,75.3,19.1,25.7,254.8
244,244,36.4,55.8,5.6,82.5,13.2,20.6,340.8
245,245,37.6,56.2,5.8,84.8,14.8,21.8,340.2
246,246,37.8,60.2,46.7,77.1,16.6,24.3,307.7
247,247,36.8,73.9,60.9,70.4,18.9,28.6,238.9
248,248,40,65.7,35.1,85.2,18,28.1,336.7
249,249,42.7,63.3,77.8,86.6,22.2,29.6,305.5
250,250,39.6,89.5,98.3,61.4,28.8,36.6,211.7
251,251,41.7,95,97.8,66.3,30.3,40.3,135.4
252,252,31,86.5,64.3,36.6,20.4,27.3,302.8
253,253,28.3,66.6,66.2,40.2,15.5,18.4,343.8
254,254,33.7,74.6,85.4,39.6,27.9,26.3,285
255,255,39.6,72.4,67.7,82.5,22,30.1,289.7
256,256,39,78.7,53.6,79.4,21.6,32.4,308.4
257,257,41.7,69.9,36.6,84.3,20.7,31.9,342
258,258,38.1,71,44,73.1,19.8,29,316.3
259,259,38.7,69.5,30.4,78.9,18.8,28.6,326.8
260,260,39.8,70.5,31.7,84.3,19.1,29.9,319
261,261,41.2,68.5,16.3,84.3,21.8,30.8,336.5
262,262,47,61.5,49.8,89.9,24,32.2,342.8
263,263,39.7,81.1,83.7,69.9,22.4,34,240.1
264,264,43.6,74.4,66.7,78.9,21.1,35,295.7
265,265,38.1,91.4,99.6,60.9,28.5,35.7,93
266,266,41.4,78.3,34.4,79.8,19.3,33.8,349.7
267,267,23.4,75.1,54.9,33,14.3,16.5,337.8
268,268,37.3,63.8,23,82.7,12.6,24.9,359.2
269,269,37.8,64.1,61.7,82.5,20,26,309.3
270,270,37.9,77.6,62.7,78,24.3,30.8,210.7
271,271,43.3,68,22.5,89.9,21.6,32,345.7
272,272,45.6,65.3,24.8,87.9,25.4,33.5,327.5
273,273,52.4,62.7,21.3,89.7,27,38.3,312.6
274,274,44.8,59.9,8.9,79.1,26.1,31.3,366.9
275,275,48.2,59.6,25.2,87.9,27,34.2,362.2
276,276,48.4,63.6,43.1,87.2,29.2,35.9,339.7
277,277,47.7,74,57.8,82.1,31.4,39.1,252.5
278,278,48.7,75.2,50.7,71.7,31,40.8,309.3
279,279,45.4,64.4,15.3,89.7,27.9,32.7,360.3
280,280,46,55,12.2,91.5,24,29.2,373.1
281,281,48,54.3,9.7,93.8,28.5,31,373.3
282,282,49.3,54.4,6.2,93.3,29.7,32.7,374.3
283,283,50.3,55.8,21.9,96.2,29.2,34.2,342.1
284,284,51.4,61.6,25.2,98.3,32.6,37.2,352.5
285,285,51.6,64.5,29.7,98.7,32.4,38.6,312
286,286,51.9,66.2,25.1,89.7,34.4,39.5,275.7
287,287,50.4,62.8,15.4,97.1,32.1,36.8,356.2
288,288,55.5,60.6,14.5,95.6,33.3,40.2,342
289,289,52.2,63.7,31.5,93.3,33.3,39.8,352.7
290,290,56.7,60.7,29.2,93.3,34.8,42.4,338.1
291,291,54.5,66.5,22.8,95.1,36.8,42.7,368.7
292,292,54.8,60.9,14.6,98.9,35.1,40.5,361.9
293,293,63.9,50.9,7.2,98.7,36,42.9,374.3
294,294,55.9,53,18.8,100.1,35.5,37.1,362.7
295,295,60.4,44.3,21.7,100.5,34.1,35.4,362.8
296,296,55.5,48.4,42.3,93.3,36,34.5,320.3
297,297,50.8,54.2,33.1,96.9,32.8,33.4,334.5
298,298,50.1,56,33.8,90.2,32.6,33.5,303.1
299,299,57.2,47.8,16.9,98.7,32.8,34,364.3
300,300,49.9,58.5,25.3,90.2,32.3,34.8,316.3
301,301,50.4,66.4,32.3,96.5,33.9,37.7,288.9
302,302,49.7,68.5,71.6,89.8,33.9,38.2,292.1
303,303,49.4,77.9,56,91.7,35.1,41.9,285.9
304,304,50.6,65.4,27.7,93.8,30.5,38.3,319.3
