,temp,tempmax,tempmin,solarradiation,humidity,cloudcover,dew
112,81.6,86,77,238.7,86.1,85.9,76.9
113,78.2,82.4,75.3,172.3,92,88.4,75.7
114,77.5,82.4,74.7,137.7,92.2,90.2,75
115,80.2,84.7,76.2,231.7,88.6,87.1,76.5
116,79.6,84.2,75.2,174.6,89.5,89.6,76.3
117,77.4,81.2,75.2,32.2,94.4,95.1,75.7
118,75.4,77,74.2,1.8,93.5,100,73.3
119,81.4,87.8,75.2,75.8,84.5,88.8,76.1
120,83.7,89.6,78.9,232.9,87.2,82.9,79.5
121,81.8,87.8,78.8,231.7,89,66.9,78.2
122,80.9,84.4,78.3,231.3,87.6,81.1,76.9
123,81.2,86.3,76.8,233.7,85.5,67.9,76.4
124,81,85.3,78.2,229.8,83.7,68.3,75.5
125,80.1,84.2,75.4,199,82.5,58.7,74.2
126,79,84.7,73.9,203.1,81.2,49.4,72.5
127,78.8,84.2,73.4,231.9,79.7,52.9,71.8
128,79.5,85.1,75,238.8,76.2,61.8,71.2
129,78.1,80.6,77,103.8,87.5,85.2,74.1
130,80.2,84.2,76.7,177.3,86,82.4,75.5
131,81.3,86,78.8,189.7,79.7,76.8,74.4
132,80.6,84.2,77,126.5,75.7,65.1,72.1
133,80.5,84.6,76.7,237.5,73.5,52.7,71.1
134,80.1,84.3,77,143.8,77.7,65.4,72.4
135,79.5,84.2,75.5,120.7,79.7,73.6,72.6
136,77.4,84.2,72.2,226,77.9,51.8,69.7
137,77,84.4,69.8,213.7,75.2,51,68.2
138,78.4,82.4,74.6,126,80.5,68.2,71.9
139,79.8,84.2,77,231,83.3,79.4,74.2
140,79,84.2,73.4,203.3,78.5,58.8,71.6
141,79.5,86,73.4,194.2,78.6,51.6,72
142,80.3,86,76.6,230.5,79.8,63.2,73.4
143,79.9,84.6,75.9,204.4,80.7,64.8,73.4
144,79.7,86,74.3,197.8,76.3,51.7,71.4
145,78.2,84.6,71.6,154.7,76.9,51.3,70.1
146,78.3,84.4,71.1,184,75.3,45,69.6
147,78.2,83.6,73,181.4,76.3,65.4,69.9
148,78.6,84.2,72.5,150.8,78.2,70.3,71.1
149,78.6,85.1,75,215.2,82.8,86.8,72.8
150,79.7,84.2,76.4,124.3,82,86,73.6
151,80,82.9,78.4,47,81.8,88.3,73.9
152,76.8,78.8,73.4,13.9,89,90.2,73.3
153,78,80.6,74.8,13.3,89.9,91.9,74.7
154,80.5,84.2,76.8,209.3,80.2,72.6,73.8
155,80.1,86,75.2,217.3,77.8,51.9,72.4
156,80.3,86,75.7,241.5,77,47.7,72.2
157,79.6,86,74.8,225.6,79.7,42,72.5
158,80,86,75.2,246.8,80.8,42,73.3
159,79.5,87.8,74.8,251.7,79,34.4,71.7
160,78.2,85.1,73.4,253.5,79,43.6,70.8
161,77.5,86.1,71.1,257,73.1,32.5,67.6
162,77.9,86,70.7,257.3,74,26.5,68.6
163,78.7,86,71.5,253.8,78.5,41.9,71.2
164,79.8,86.1,74.2,245.4,78.2,45.5,72.2
165,79.9,86,75.2,254.1,77.1,48.9,71.8
166,79.8,86.4,74.1,257.9,74.7,30.6,70.6
167,79.5,86.4,73.6,257.6,76.5,37,71.1
168,79.9,86,73.4,228.1,75.9,43.4,71.4
169,80.7,88,73.1,259.3,72,32.4,70.3
170,80.1,86.9,73.4,260.7,73.9,34.3,70.7
171,79.5,86,74,194.3,76.8,48.4,71.3
172,80.6,87.8,74.6,258.3,74.8,49.3,71.6
173,81.5,86.1,77,234.4,72.6,53.1,71.7
174,79.4,86,73.4,267.8,68.7,41.8,67.9
175,79.4,86,73.4,253.3,72.4,43.1,69.5
176,80.5,87.8,73.4,225.8,76.4,40.1,72.2
177,81.9,87.8,77,250.8,80.2,53.7,75.1
178,82.6,88.3,78.6,249,79.2,50.9,75.3
179,81.4,87.8,76.8,267.3,76.9,41.9,73.2
180,80.9,88.1,74.2,270,74.9,38.6,71.9
181,80.6,87.8,74.5,272,74.2,42.9,71.3
182,80.1,86.9,74.9,273.2,76.4,36.4,71.7
183,80.3,89.6,73.4,276.5,73.4,30.3,70.2
184,80.3,88,73.4,273.2,78,28.4,72.5
185,81.2,88.4,75.1,276.4,77,40.5,73
186,82.9,89.6,78.2,236.5,73.7,42.6,73.4
187,81.4,87.8,76.6,239,72.5,50.8,71.5
188,80.2,87.6,73.4,278.8,73.2,51.3,70.6
189,81.4,88,75.2,149.7,75.6,51.1,72.7
190,82.3,89.6,77,280.1,73.2,41.3,72.4
191,81.1,87.8,75.2,272.3,73.5,48.5,71.5
192,82.1,89.6,75.2,276.8,71.3,40.4,71.6
193,81.5,89.6,75.2,282.9,72.6,29.1,71.3
194,81.2,87.8,74.2,290.8,75.3,27.3,72.2
195,82.4,89.6,75.2,287.4,73.5,32,72.6
196,82.4,88.7,75.9,287.3,74.8,30.7,73.3
197,82.8,91.4,75.2,288.8,73.8,26.8,73.1
198,83.6,91.4,78.8,285.5,76.9,37.9,75.3
199,85.3,93.2,80.1,240.9,78.1,42.1,77.4
200,84.7,89.6,81.4,285.8,76,48,76.2
201,83.7,88,79.4,289.4,70.8,44,73.1
202,83.5,89.2,79.5,134.8,73.9,48.2,74.2
203,83.4,89.6,78.8,287.3,73.4,48,73.8
204,82.9,90,77,299.5,74.4,37.2,73.6
205,82.9,91.4,75.2,291.4,73.2,26,73
206,83.6,91.4,77,287.8,72.7,28.3,73.2
207,83.1,91.4,77,221.9,75.8,40.3,74.4
208,83.9,91.4,77,301.3,69.7,31.7,72.4
209,82.2,89.6,75,302.7,72.3,33.2,72.1
210,82.4,88.1,75.2,301.3,73.6,32.4,72.8
211,82.9,91.4,75.2,271.8,74.2,35.8,73.5
212,83.8,93.2,77,285.4,72.7,38.6,73.5
213,84.5,93.2,75.2,303.3,72.8,26.3,74.3
214,84.4,91.4,78.8,302.8,76.5,35.2,76
215,85.2,91.9,78.8,303.8,72.1,35.2,74.8
216,85.6,91.8,80.6,302.5,71.4,30.8,75
217,84.6,93.2,78.8,306,74,29.2,75.1
218,85.3,93.2,78.3,304.3,72.7,30.3,75.1
219,84.8,93.2,78.8,306.9,74.3,36,75.3
220,84.5,91.4,78.8,308.8,71.3,29.5,73.9
221,85.2,91.4,80.4,272.5,75.3,41.1,76.3
222,84.7,90.1,80.2,310.8,72,38.6,74.4
223,84.5,91.4,77,311.6,73.4,34,74.7
224,84.5,91.4,78.3,313.8,74.1,29,75.1
225,84.4,90.5,77,312.5,72.8,36.2,74.4
226,85.7,90.7,82.3,298.9,72.4,42,75.6
227,85.9,91.6,80.6,313.2,73,43.1,76
228,85.3,91.8,78.8,316.8,72.3,34.2,75
229,85,91.4,78.5,312,72.5,36.8,75
230,84.4,90.1,77,316.2,72.7,38.3,74.3
231,84.2,91.4,76.8,320.4,69.5,30.7,72.7
232,85.5,92,78.7,318.1,72.9,28.8,75.6
233,86.1,93.1,78.7,318.8,74.2,37.5,76.7
234,86.7,94.9,80.5,317.9,75.5,26,77.8
235,86.9,94.9,78.7,323.1,70.6,25,75.3
236,86.5,93.1,78.7,319.9,74.9,29.2,77.4
237,87.2,93.1,82.3,317.6,74.7,40.6,77.9
238,87.8,96.7,80.6,322,74.2,34.8,78.2
239,88.6,98.6,81.9,322.3,72.8,40.8,78
240,88.6,96.8,82.4,324.3,75.7,39,79.5
241,87.6,95,82.3,321.9,75.6,36.4,78.6
242,89.3,101.3,80.6,307.3,69.8,34,76.9
243,88.6,100.4,80.6,326,72.8,29.4,77.8
244,88.1,96.8,82,326,75,34.9,78.7
245,87.4,93.2,82.9,321.6,71.5,37,76.8
246,87.3,93.2,81.5,314,74.3,49.9,77.9
247,88.2,95,82.1,316.4,71.3,39,77.4
248,88.5,93.6,84.2,201.2,72.2,44,78.2
249,88.3,95,82.4,317.6,72.6,36.1,78
250,87.8,93.6,82.4,321.3,72.1,32.3,77.5
251,87.7,93.9,81.2,323.5,73,37.9,77.6
252,88.8,96.8,80.6,321.3,70.1,32.1,77.1
253,89.1,98.6,82.4,284.7,74.3,33.1,79.5
254,89.2,98.6,84.2,301.7,73.5,29.9,79.2
255,89.2,96.8,82.7,308,75,29.2,80
256,90.2,98.6,85.3,296.3,73.9,47.3,80.4
257,89.5,98.6,84.2,310.7,76.2,41.1,80.6
258,88.7,96.8,82.4,300.3,74.1,32.6,78.9
259,88.6,98.6,82.4,327,70.5,34.5,76.8
260,88.4,98.6,82.2,324.2,72.9,28.9,78.1
261,88.9,96.8,83.5,323.2,74.4,36.3,79.4
262,88.6,96.8,82.4,309.9,73.2,29.2,78.6
263,88.2,95,82.4,326.6,73.5,36.5,78.3
264,89.4,98.6,82.3,324.1,73.1,29.8,79.2
265,90,98.6,84.2,324.2,74.8,34.8,80.5
266,90.8,100.4,84.2,315.8,72.9,37.6,80.2
267,92.4,103.9,85.9,318,70.5,32.3,80.7
268,92.3,102.2,86.6,317,72.1,35.3,81.7
269,91.8,102.2,86,317.8,72.5,31.7,81.1
270,92,100.4,87.3,281.5,71.9,35.2,81.2
271,92,98.6,87.2,301.8,71.7,32.7,81.3
272,91.6,98.6,87.6,313.8,76.2,38,82.9
273,91.4,97.7,86.9,294.3,73.5,38.5,81.4
274,88.3,95,78.8,306.6,71.6,54.3,77.5
275,89.3,95,85.8,313.1,75,50.5,80.1
276,90.1,95.7,85.3,301.9,72.3,50.8,79.7
277,89.9,95.4,86,298.3,73.9,49.4,80.3
278,90.2,95.8,85.7,280,72.4,49.4,79.8
279,89.9,95,86,304.1,73.7,56.5,80.2
280,89.9,95,85.1,302.6,72.4,49.2,79.6
281,89.3,95.4,85.3,158.4,73.5,59.3,79.5
282,82.4,86,80.6,80.5,88.6,79.9,78.6
283,84.2,89.6,80.4,193.4,84.1,74.1,78.8
284,88.1,94.2,81.8,262,75.4,57.8,79
285,88.8,95,83,300.3,75.3,62.8,79.8
286,87.8,93.6,83.8,111.8,79.7,67.5,80.6
287,87.8,95,83.6,199,79.5,64.2,80.4
288,88,94.7,83.5,217.3,78.7,70.8,80.4
289,89.7,96.8,84.2,291.4,75.4,51.8,80.6
290,91,100.4,84.2,294.2,72.9,54.1,80.8
291,91.9,98.6,87.5,140.3,71.2,75,80.8
292,93.7,102.2,87.6,235,59.2,82.2,76.9
293,94.7,104,87.8,302.1,59.5,44.6,77.9
294,94.3,104.5,87.7,277.2,62.6,48.6,78.9
295,94.7,104.4,89.2,269,58.5,44,77
296,94.1,105.8,86,311,65.1,29.7,79.9
297,94.3,104,88.7,311.3,66.7,34.1,81
298,92.5,102.2,87.9,301.3,73.4,44.5,82.4
299,90.1,98.6,84.2,281.6,68.5,50.4,78.1
300,87.1,93.7,80.6,155.7,76,65.6,78.3
301,88.2,98.6,78.8,223.8,76.7,56.9,79.5
302,85.5,98.6,77,148.5,82.9,69.1,79.3
303,84.7,95,78.8,162.3,83.4,86.8,78.9
304,84.2,91.4,78.8,44,85.5,82.3,79.2
305,86.2,93.3,78.8,234,77.7,66.9,78.2
306,88.1,95,82.4,246.5,74.6,55.2,78.6
307,88.8,99.8,80.6,160.7,71,56.7,77.3
308,88.9,96.8,82,202.9,69.5,62.4,77.1
309,88.6,97.2,77,149,71.9,87.1,77.8
310,86.6,96.8,78.2,194.5,72.3,79.1,76.1
311,88.9,96.8,82.4,211.8,70.1,72.2,77.4
312,88.2,93.2,84.2,224.3,72.9,79.1,78.1
313,90,100.4,84.2,267.1,70.3,47.2,78.2
314,89,98.6,80.6,251.5,72.3,48.6,78.5
315,85,95,75.2,238.7,79.8,71,77.8
316,84.2,94.7,77,246,81.3,67.3,77.6
317,86.1,95,78.8,238.3,76.5,69.3,77.5
318,86.6,96.8,80.2,160,73.9,62,76.8
319,88.1,95.5,81.6,198.3,73,57.3,78.1
320,88.2,97.1,82.4,244.3,72.9,51.7,78
321,88.4,95,84.2,203.8,70.9,62.5,77.6
322,89.4,96.6,84.2,185.4,68.9,65.5,77.5
323,88,93.2,83.7,52.7,70.8,86.7,77.2
324,88.4,92.1,85.7,36,66.8,84.8,75.8
325,89.6,96.8,85.4,238.5,66.3,63,76.6
326,89,97,84.2,220.5,72.8,57.4,78.8
327,87.5,93.2,83.3,135.8,77.1,79.1,79.3
328,86.7,93.7,80.6,74.4,77.9,82,78.8
329,89.9,97.7,83.7,226,68.5,53.2,77.6
330,89.6,98.8,78.8,188.1,70,57.1,78
331,87,95,78.8,179.1,76.7,83.6,78.4
332,88.5,96.8,76.2,212.4,74.1,64.1,78.8
333,83.1,87.8,77,154.6,84.9,89.9,78
334,86.3,95.5,78.8,180.3,75.1,73.5,77
335,85.9,92.1,80,136.6,77.9,82,77.8
336,86,91.4,80.8,80.7,75.7,80.2,77.3
337,88.8,95.8,82.5,240.4,71.9,48.6,78.2
338,82.6,89.6,75.2,197.9,85.5,86.6,77.6
339,87.3,96.8,77,221.8,77.8,51.2,79.1
340,84.3,91.4,78.4,119.7,82.3,88.6,78.1
